MSTRG.13211.1	2+0-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_001161845	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_172645	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
MSTRG.12661.3	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_019652	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_001277983	2+0-	mus_PRJNA293822_27|5. PRJNA322593 o PRJNA323485_10
NM_001163480	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
NM_001110216	2+0-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_172571	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_028816	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_178914	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_010414	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_170593	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_008904	1+1-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
NM_028980	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.15905.3	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
NM_026137	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_130447	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
NM_021421	2+0-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
MSTRG.21765.1	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_011341	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_001253886	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
MSTRG.5842.12	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_001168226	1+1-	9.PRJNA322294_5|4. PRJNA281134_3
NM_030887	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_001252648	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.16515.3	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.9103.3	0+2-	4. PRJNA281134_4|5. PRJNA322593 o PRJNA323485_10
MSTRG.10559.3	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.21573.17	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_029531	1+1-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
MSTRG.9294.1	1+1-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
MSTRG.21335.1	2+0-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
NM_001081242	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_027318	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_011119	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
NM_013790	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_025950	1+1-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
NM_008218	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.7111.5	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.1764.1	2+0-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
MSTRG.4416.2	0+2-	4. PRJNA281134_4|4. PRJNA281134_3
NR_125834	0+2-	4. PRJNA281134_3|5. PRJNA322593 o PRJNA323485_10
NM_001139511	1+1-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.18110.2	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_177643	1+1-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
MSTRG.128.8	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_001009948	0+2-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.128.2	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_172652	1+1-	4. PRJNA281134_4|5. PRJNA322593 o PRJNA323485_9
MSTRG.19187.3	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_001164562	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.8693.2	1+1-	4. PRJNA281134_4|mus_PRJNA293822_27
NM_012061	0+2-	multi_mus_PRJNA398031_4|mus_PRJNA293822_27
MSTRG.5186.1	2+0-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_010477	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
MSTRG.18628.8	2+0-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.3174.2	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
NM_001005859	0+2-	4. PRJNA281134_3|5. PRJNA322593 o PRJNA323485_10
NM_025914	1+1-	4. PRJNA281134_4|5. PRJNA322593 o PRJNA323485_9
MSTRG.18681.7	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_001289478	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_011334	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
NM_133747	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.11101.1	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.2969.5	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_198942	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_025481	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_175112	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
