MSTRG.10396	1+0-	multi_mus_PRJNA398031_4
MSTRG.32901	0+1-	multi_mus_PRJNA398031_4
MSTRG.1422	0+1-	multi_mus_PRJNA398031_4
MSTRG.20252	0+1-	multi_mus_PRJNA398031_4
MSTRG.12971	0+1-	multi_mus_PRJNA398031_4
Itga3	0+1-	multi_mus_PRJNA398031_4
MSTRG.24095	0+1-	multi_mus_PRJNA398031_4
Zscan12	1+0-	4. PRJNA281134_4
Snx30	0+1-	multi_mus_PRJNA398031_4
MSTRG.5819	1+0-	5. PRJNA322593 o PRJNA323485_10
MSTRG.6203	1+0-	5. PRJNA322593 o PRJNA323485_10
MSTRG.4871	1+0-	4. PRJNA281134_4
Cpne9	1+0-	9.PRJNA322294_5
MSTRG.13891	1+0-	multi_mus_PRJNA398031_4
MSTRG.6148	1+0-	multi_mus_PRJNA398031_4
Gtpbp4	0+1-	multi_mus_PRJNA398031_4
MSTRG.20167	1+0-	multi_mus_PRJNA398031_4
MSTRG.4692	1+0-	mus_PRJNA293822_27
Rad51d	1+0-	multi_mus_PRJNA398031_4
MSTRG.34061	0+1-	multi_mus_PRJNA398031_4
Map3k4	0+1-	4. PRJNA281134_4
MSTRG.7013	0+1-	multi_mus_PRJNA398031_4
MSTRG.13121	0+1-	mus_PRJNA293822_27
MSTRG.11102	0+1-	multi_mus_PRJNA398031_4
Gtf3c4	0+1-	multi_mus_PRJNA398031_4
MSTRG.23079	1+0-	multi_mus_PRJNA398031_4
MSTRG.4280	0+1-	5. PRJNA322593 o PRJNA323485_9
Pitpnm3	0+1-	mus_PRJNA293822_27
MSTRG.23829	1+0-	multi_mus_PRJNA398031_4
Traf4	1+0-	9.PRJNA322294_5
MSTRG.20621	0+1-	multi_mus_PRJNA398031_4
Atp5j	0+1-	multi_mus_PRJNA398031_4
MSTRG.22833	0+1-	multi_mus_PRJNA398031_4
MSTRG.5962	0+1-	5. PRJNA322593 o PRJNA323485_9
Mib2	0+1-	multi_mus_PRJNA398031_4
Bmp1	0+1-	4. PRJNA281134_4
MSTRG.3027	1+0-	multi_mus_PRJNA398031_4
MSTRG.4320	0+1-	9.PRJNA322294_5
MSTRG.1829	1+0-	5. PRJNA322593 o PRJNA323485_9
Papd7	0+1-	multi_mus_PRJNA398031_4
Dtx1	0+1-	multi_mus_PRJNA398031_4
MSTRG.10797	0+1-	multi_mus_PRJNA398031_4
MSTRG.25507	1+0-	multi_mus_PRJNA398031_4
MSTRG.15669	1+0-	9.PRJNA322294_5
MSTRG.3963	1+0-	multi_mus_PRJNA398031_4
MSTRG.7529	1+0-	4. PRJNA281134_3
MSTRG.13360	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.6546	1+0-	multi_mus_PRJNA398031_4
MSTRG.17620	1+0-	multi_mus_PRJNA398031_4
MSTRG.16522	0+1-	4. PRJNA281134_4
Rab40b	0+1-	multi_mus_PRJNA398031_4
MSTRG.12050	0+1-	multi_mus_PRJNA398031_4
MSTRG.25593	0+1-	multi_mus_PRJNA398031_4
MSTRG.2178	1+0-	multi_mus_PRJNA398031_4
MSTRG.6767	1+0-	multi_mus_PRJNA398031_4
MSTRG.5908	1+0-	9.PRJNA322294_5
MSTRG.19340	0+1-	multi_mus_PRJNA398031_4
MSTRG.20639	1+0-	multi_mus_PRJNA398031_4
MSTRG.24024	1+0-	multi_mus_PRJNA398031_4
MSTRG.23280	1+0-	multi_mus_PRJNA398031_4
Ttc21b	0+1-	multi_mus_PRJNA398031_4
MSTRG.19997	0+1-	multi_mus_PRJNA398031_4
MSTRG.17741	0+1-	multi_mus_PRJNA398031_4
MSTRG.5448	0+1-	multi_mus_PRJNA398031_4
Gm16532	0+1-	multi_mus_PRJNA398031_4
MSTRG.3176	1+0-	9.PRJNA322294_5
MSTRG.11811	0+1-	multi_mus_PRJNA398031_4
MSTRG.35177	1+0-	multi_mus_PRJNA398031_4
MSTRG.13084	1+0-	5. PRJNA322593 o PRJNA323485_9
Ephx2	0+1-	multi_mus_PRJNA398031_4
Kat2a	1+0-	multi_mus_PRJNA398031_4
Ogdh	1+0-	4. PRJNA281134_4
MSTRG.4177	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.1720	1+0-	multi_mus_PRJNA398031_4
MSTRG.34030	0+1-	multi_mus_PRJNA398031_4
MSTRG.3957	0+1-	multi_mus_PRJNA398031_4
MSTRG.2106	1+0-	multi_mus_PRJNA398031_4
MSTRG.18247	0+1-	multi_mus_PRJNA398031_4
MSTRG.20902	1+0-	multi_mus_PRJNA398031_4
MSTRG.22982	0+1-	multi_mus_PRJNA398031_4
MSTRG.11929	0+1-	multi_mus_PRJNA398031_4
Zfp558	0+1-	multi_mus_PRJNA398031_4
MSTRG.27040	1+0-	multi_mus_PRJNA398031_4
Phactr2	0+1-	multi_mus_PRJNA398031_4
MSTRG.18466	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.17583	0+1-	multi_mus_PRJNA398031_4
MSTRG.1447	1+0-	multi_mus_PRJNA398031_4
MSTRG.2927	1+0-	multi_mus_PRJNA398031_4
MSTRG.33170	0+1-	multi_mus_PRJNA398031_4
MSTRG.9674	1+0-	multi_mus_PRJNA398031_4
Fiz1	1+0-	4. PRJNA281134_3
MSTRG.6249	1+0-	multi_mus_PRJNA398031_4
Rnh1	1+0-	4. PRJNA281134_4
Cds2	1+0-	multi_mus_PRJNA398031_4
Tbc1d5	0+1-	multi_mus_PRJNA398031_4
MSTRG.32662	1+0-	multi_mus_PRJNA398031_4
Gab2	0+1-	multi_mus_PRJNA398031_4
Pdik1l	0+1-	multi_mus_PRJNA398031_4
Stat5b	0+1-	multi_mus_PRJNA398031_4
